2011-1504,T22
2006-3880,T4
2002-0861,T25
2006-6867,T2
2008-1986,T22
2011-3738,T30
2008-2025,T22
2006-0173,T12
2008-2009,T8
2015-0860,T23
2006-5702,T30
2015-7337,T14
2007-3408,T8
2012-0249,T14
2010-3701,T37
2013-6496,T6
2010-2308,T26
2009-1692,T8
2012-0530,T27
2015-4355,T38
2006-3632,T11
2011-4602,T37
2004-2339,T4
2014-0933,T38
2004-1330,T14
2012-6459,T10
2010-5309,T20
2004-2356,T37
2005-3802,T19
2006-1366,T11
2004-2161,T5
2004-0392,T37
2007-3417,T22
2010-4679,T29
2009-0276,T25
2002-0157,T9
2008-5547,T33
2010-0718,T23
2006-6716,T5
2007-3288,T22
2006-0422,T8
2001-1015,T26
2013-1903,T9
2009-3857,T31
2013-2122,T6
2007-1068,T19
2009-1875,T7
2016-0571,T27
2010-2029,T6
2012-5622,T38
2007-0829,T6
2010-3192,T15
2011-3048,T23
1999-0776,T36
2015-2521,T17
2013-4132,T10
2014-2665,T10
2001-1273,T15
2016-0463,T27
2005-1729,T37
2009-2421,T8
2015-1476,T21
2011-4448,T21
2008-3998,T27
2013-2271,T19
2010-4711,T11
2013-0846,T8
2015-5882,T15
2008-2739,T29
2013-4172,T12
2001-1278,T12
2005-1676,T22
2002-0031,T11
2012-3950,T29
2015-2406,T28
2002-0568,T3
2011-4500,T19
2007-1743,T4
2003-1473,T26
2011-3084,T25
2008-4184,T7
2014-5829,T0
2001-0072,T35
2006-6785,T6
2011-4075,T33
2006-6438,T3
2007-5411,T7
2005-0850,T37
2004-1864,T5
2005-4254,T21
2010-1116,T3
2007-3488,T14
2000-0242,T33
2006-2614,T3
2014-5714,T0
2004-0786,T37
2010-1279,T23
2014-9587,T38
2005-4304,T4
2007-3176,T20
2008-3307,T21
2010-3148,T34
2009-2442,T1
2006-5577,T30
2015-4854,T27
2010-0085,T27
2015-4751,T27
2015-5503,T7
2002-1371,T29
2010-2842,T19
2007-3620,T18
2009-4431,T2
2014-4473,T28
2011-2308,T27
2011-0841,T27
2013-0607,T28
2013-2898,T15
2014-1943,T31
2016-0552,T27
2016-0003,T28
2004-0229,T15
2007-3824,T21
2001-1221,T19
2014-5339,T12
2004-1985,T1
2014-9099,T38
2013-0277,T12
2000-0306,T26
2009-2009,T1
2005-3116,T14
2002-2103,T33
2011-3384,T22
2015-0197,T26
2014-5695,T0
1999-0114,T9
2005-1236,T21
2015-5512,T33
2010-3118,T10
2006-5261,T2
2013-7149,T5
2016-0738,T31
2009-0600,T23
2006-6774,T2
2002-1910,T3
2011-2179,T1
2010-1436,T15
2015-2194,T24
2005-4802,T4
2006-4531,T2
2008-3584,T37
2015-5996,T38
2005-3730,T7
2005-2552,T20
2011-3221,T23
2007-1959,T8
2009-0323,T13
2002-1290,T12
2005-4843,T31
2014-1640,T9
2006-6525,T5
2011-1548,T9
2012-1785,T21
2010-4542,T23
1999-1234,T37
2003-1031,T1
2006-2045,T3
2014-0487,T6
2008-2241,T24
2011-3561,T27
2010-4435,T32
2013-0030,T17
2003-0931,T29
2006-4302,T12
2010-0494,T25
2015-1738,T28
2015-6101,T34
2013-3832,T27
2008-1372,T37
2005-4444,T14
2007-6008,T14
2015-1347,T1
2009-3287,T35
2006-1236,T14
2010-3549,T32
2011-3757,T30
2013-4811,T19
2008-3882,T4
2008-6291,T6
2007-6194,T20
2000-0112,T9
2013-6458,T15
2007-5131,T4
2012-4853,T38
2003-0198,T9
2015-7091,T28
2010-4851,T5
2008-4708,T6
2009-3703,T5
2004-1978,T1
2013-2404,T27
2009-3494,T5
2009-3783,T22
2005-1340,T35
2006-5916,T33
2008-5549,T12
2002-2099,T4
2014-7368,T0
2009-3089,T32
2004-1160,T25
2011-3369,T37
2009-5110,T31
2014-7446,T0
2015-4295,T19
2014-7423,T0
2011-1406,T35
2012-5065,T27
2002-0768,T26
2010-1962,T20
2014-2798,T28
2002-1535,T35
2007-0016,T14
2015-0447,T27
2002-0663,T11
2006-1309,T17
2013-4214,T9
2006-1869,T27
2006-3879,T23
2001-0988,T3
2008-0739,T21
2010-2379,T27
2005-0295,T9
2011-2217,T8
2015-1431,T22
2012-3134,T27
2003-0468,T35
2006-4278,T2
2013-1737,T25
2006-0764,T19
2015-1684,T25
2011-4097,T15
2005-2485,T7
2009-3259,T5
2015-0175,T12
2012-2649,T12
2007-5716,T15
2012-4586,T19
2006-3269,T2
2003-0650,T36
2000-0066,T30
2002-1402,T11
1999-0934,T18
2011-0879,T27
2013-7242,T5
2006-3358,T1
2015-5118,T28
2003-1083,T14
2008-2845,T21
2012-5507,T10
2010-4430,T27
2008-1618,T37
2005-4070,T39
2009-2367,T10
2012-1996,T20
2008-6859,T6
2014-5957,T0
2011-1257,T8
2002-2150,T29
2013-3238,T33
2012-4255,T30
2011-3713,T30
2008-4627,T21
2000-0026,T26
2006-0307,T37
2001-0658,T25
2014-6941,T0
2008-6040,T5
2006-6755,T30
